_id,type,title,description,year,rating,ratingCount,genre,director_artist_author,duration,externalId
69079f2dafa5e245b1af83ef,book,Harry Potter and the Half-Blood Prince (Harry Potter  #6),,2006,4.57,2095690,,J.K. Rowling,,1
69079f2dafa5e245b1af83f0,book,Harry Potter and the Order of the Phoenix (Harry Potter  #5),,2004,4.49,2153167,,J.K. Rowling,,2
69079f2dafa5e245b1af83f1,book,Harry Potter and the Chamber of Secrets (Harry Potter  #2),,2003,4.42,6333,,J.K. Rowling,,4
69079f2dafa5e245b1af83f2,book,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),,2004,4.56,2339585,,J.K. Rowling,,5
69079f2dafa5e245b1af83f3,book,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),,2004,4.78,41428,,J.K. Rowling,,8
69079f2dafa5e245b1af83f4,book,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation,W. Frederick Zimmerman,3.74,0976540606,9780976540601,en-US,152,19,1,4/26/2005,Nimble Books",,,,,,,,9
69079f2dafa5e245b1af83f5,book,Harry Potter Collection (Harry Potter  #1-6),,2005,4.73,28242,,J.K. Rowling,,10
69079f2dafa5e245b1af83f6,book,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),,2005,4.38,3628,,Douglas Adams,,12
69079f2dafa5e245b1af83f7,book,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),,2002,4.38,249558,,Douglas Adams,,13
69079f2dafa5e245b1af83f8,book,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),,2004,4.22,4930,,Douglas Adams,,14
69079f2dafa5e245b1af83f9,book,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),,2005,4.22,1266,,Douglas Adams,,16
69079f2dafa5e245b1af83fa,book,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),,1996,4.38,2877,,Douglas Adams,,18
69079f2dafa5e245b1af83fb,book,A Short History of Nearly Everything,,2004,4.21,248558,,Bill Bryson,,21
69079f2dafa5e245b1af83fc,book,Bill Bryson's African Diary,,2002,3.44,7270,,Bill Bryson,,22
69079f2dafa5e245b1af83fd,book,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,,2004,3.87,2088,,Bill Bryson,,23
